name,institution,course_url,course_id,content
Viral Marketing and How to Craft Contagious Content,University of Pennsylvania,https://www.coursera.org/learn/wharton-contagious-viral-marketing,wharton-contagious-viral-marketing,Viral Marketing and How to Craft Contagious Content University of Pennsylvania
Python Data Structures,University of Michigan,https://www.coursera.org/learn/python-data,python-data,Python Data Structures University of Michigan
Private Equity and Venture Capital,Università Bocconi,https://www.coursera.org/learn/private-equity,private-equity,Private Equity and Venture Capital Università Bocconi
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",DeepLearning.AI,https://www.coursera.org/learn/introduction-tensorflow,introduction-tensorflow,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning DeepLearning.AI"
Operating Systems and You: Becoming a Power User,Google,https://www.coursera.org/learn/os-power-user,os-power-user,Operating Systems and You: Becoming a Power User Google
Tools for Data Science,IBM,https://www.coursera.org/learn/open-source-tools-for-data-science,open-source-tools-for-data-science,Tools for Data Science IBM
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",DeepLearning.AI,https://www.coursera.org/learn/deep-neural-network,deep-neural-network,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization DeepLearning.AI"
Design and Interpretation of Clinical Trials,Johns Hopkins University,https://www.coursera.org/learn/clinical-trials,clinical-trials,Design and Interpretation of Clinical Trials Johns Hopkins University
Visual Elements of User Interface Design,California Institute of the Arts,https://www.coursera.org/learn/visual-elements-user-interface-design,visual-elements-user-interface-design,Visual Elements of User Interface Design California Institute of the Arts
Management of Fashion and Luxury Companies,Università Bocconi,https://www.coursera.org/learn/mafash,mafash,Management of Fashion and Luxury Companies Università Bocconi
Primeros Auxilios Psicológicos (PAP),Universitat Autònoma de Barcelona,https://www.coursera.org/learn/pap,pap,Primeros Auxilios Psicológicos (PAP) Universitat Autònoma de Barcelona
Initiating and Planning Projects,"University of California, Irvine",https://www.coursera.org/learn/project-planning,project-planning,"Initiating and Planning Projects University of California, Irvine"
Computational Thinking for Problem Solving,University of Pennsylvania,https://www.coursera.org/learn/computational-thinking-problem-solving,computational-thinking-problem-solving,Computational Thinking for Problem Solving University of Pennsylvania
Agile with Atlassian Jira,Atlassian,https://www.coursera.org/learn/agile-atlassian-jira,agile-atlassian-jira,Agile with Atlassian Jira Atlassian
Fundamentals of Graphic Design,California Institute of the Arts,https://www.coursera.org/learn/fundamentals-of-graphic-design,fundamentals-of-graphic-design,Fundamentals of Graphic Design California Institute of the Arts
Introduction to User Experience Design,Georgia Institute of Technology,https://www.coursera.org/learn/user-experience-design,user-experience-design,Introduction to User Experience Design Georgia Institute of Technology
Introduction to Marketing,University of Pennsylvania,https://www.coursera.org/learn/wharton-marketing,wharton-marketing,Introduction to Marketing University of Pennsylvania
Python for Data Science and AI,IBM,https://www.coursera.org/learn/python-for-applied-data-science-ai,python-for-applied-data-science-ai,Python for Data Science and AI IBM
Marketing Analytics,University of Virginia,https://www.coursera.org/learn/uva-darden-market-analytics,uva-darden-market-analytics,Marketing Analytics University of Virginia
Natural Language Processing with Classification and Vector Spaces,DeepLearning.AI,https://www.coursera.org/learn/classification-vector-spaces-in-nlp,classification-vector-spaces-in-nlp,Natural Language Processing with Classification and Vector Spaces DeepLearning.AI
Fundamentals of Quantitative Modeling,University of Pennsylvania,https://www.coursera.org/learn/wharton-quantitative-modeling,wharton-quantitative-modeling,Fundamentals of Quantitative Modeling University of Pennsylvania
How to Manage a Remote Team,GitLab,https://www.coursera.org/learn/remote-team-management,remote-team-management,How to Manage a Remote Team GitLab
Mathematics for Machine Learning: Linear Algebra,Imperial College London,https://www.coursera.org/learn/linear-algebra-machine-learning,linear-algebra-machine-learning,Mathematics for Machine Learning: Linear Algebra Imperial College London
Introduction to Data Science in Python,University of Michigan,https://www.coursera.org/learn/python-data-analysis,python-data-analysis,Introduction to Data Science in Python University of Michigan
Customer Analytics,University of Pennsylvania,https://www.coursera.org/learn/wharton-customer-analytics,wharton-customer-analytics,Customer Analytics University of Pennsylvania
English for Career Development,University of Pennsylvania,https://www.coursera.org/learn/careerdevelopment,careerdevelopment,English for Career Development University of Pennsylvania
SQL for Data Science,"University of California, Davis",https://www.coursera.org/learn/sql-for-data-science,sql-for-data-science,"SQL for Data Science University of California, Davis"
Write Professional Emails in English,Georgia Institute of Technology,https://www.coursera.org/learn/professional-emails-english,professional-emails-english,Write Professional Emails in English Georgia Institute of Technology
System Administration and IT Infrastructure Services,Google,https://www.coursera.org/learn/system-administration-it-infrastructure-services,system-administration-it-infrastructure-services,System Administration and IT Infrastructure Services Google
Introduction to Social Media Marketing,Facebook,https://www.coursera.org/learn/social-media-marketing-introduction,social-media-marketing-introduction,Introduction to Social Media Marketing Facebook
Forensic Accounting and Fraud Examination,West Virginia University,https://www.coursera.org/learn/forensic-accounting,forensic-accounting,Forensic Accounting and Fraud Examination West Virginia University
Digital Product Management: Modern Fundamentals,University of Virginia,https://www.coursera.org/learn/uva-darden-digital-product-management,uva-darden-digital-product-management,Digital Product Management: Modern Fundamentals University of Virginia
Data Science Math Skills,Duke University,https://www.coursera.org/learn/datasciencemathskills,datasciencemathskills,Data Science Math Skills Duke University
Structuring Machine Learning Projects,DeepLearning.AI,https://www.coursera.org/learn/machine-learning-projects,machine-learning-projects,Structuring Machine Learning Projects DeepLearning.AI
The Strategy of Content Marketing,"University of California, Davis",https://www.coursera.org/learn/content-marketing,content-marketing,"The Strategy of Content Marketing University of California, Davis"
Introduction to Cybersecurity Tools & Cyber Attacks,IBM,https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks,introduction-cybersecurity-cyber-attacks,Introduction to Cybersecurity Tools & Cyber Attacks IBM
The Data Scientist’s Toolbox,Johns Hopkins University,https://www.coursera.org/learn/data-scientists-tools,data-scientists-tools,The Data Scientist’s Toolbox Johns Hopkins University
Convolutional Neural Networks in TensorFlow,DeepLearning.AI,https://www.coursera.org/learn/convolutional-neural-networks-tensorflow,convolutional-neural-networks-tensorflow,Convolutional Neural Networks in TensorFlow DeepLearning.AI
Convolutional Neural Networks,DeepLearning.AI,https://www.coursera.org/learn/convolutional-neural-networks,convolutional-neural-networks,Convolutional Neural Networks DeepLearning.AI
Using Python to Access Web Data,University of Michigan,https://www.coursera.org/learn/python-network-data,python-network-data,Using Python to Access Web Data University of Michigan
Introduction to Systematic Review and Meta-Analysis,Johns Hopkins University,https://www.coursera.org/learn/systematic-review,systematic-review,Introduction to Systematic Review and Meta-Analysis Johns Hopkins University
Organizational Analysis,Stanford University,https://www.coursera.org/learn/organizational-analysis,organizational-analysis,Organizational Analysis Stanford University
Communication Strategies for a Virtual Age,University of Toronto,https://www.coursera.org/learn/communication-strategies-virtual-age,communication-strategies-virtual-age,Communication Strategies for a Virtual Age University of Toronto
Managing the Company of the Future,London Business School,https://www.coursera.org/learn/company-future-management,company-future-management,Managing the Company of the Future London Business School
Finance for Non-Finance Professionals,Rice University,https://www.coursera.org/learn/finance-for-non-finance,finance-for-non-finance,Finance for Non-Finance Professionals Rice University
Site Reliability Engineering: Measuring and Managing Reliability,Google Cloud,https://www.coursera.org/learn/site-reliability-engineering-slos,site-reliability-engineering-slos,Site Reliability Engineering: Measuring and Managing Reliability Google Cloud
Data Science Methodology,IBM,https://www.coursera.org/learn/data-science-methodology,data-science-methodology,Data Science Methodology IBM
Introduction to Financial Accounting,University of Pennsylvania,https://www.coursera.org/learn/wharton-accounting,wharton-accounting,Introduction to Financial Accounting University of Pennsylvania
Marketing in a Digital World,University of Illinois at Urbana-Champaign,https://www.coursera.org/learn/marketing-digital,marketing-digital,Marketing in a Digital World University of Illinois at Urbana-Champaign
Principles of Sustainable Finance,Erasmus University Rotterdam,https://www.coursera.org/learn/sustainable-finance,sustainable-finance,Principles of Sustainable Finance Erasmus University Rotterdam
Financial Engineering and Risk Management Part I,Columbia University,https://www.coursera.org/learn/financial-engineering-1,financial-engineering-1,Financial Engineering and Risk Management Part I Columbia University
Business Metrics for Data-Driven Companies,Duke University,https://www.coursera.org/learn/analytics-business-metrics,analytics-business-metrics,Business Metrics for Data-Driven Companies Duke University
Python Basics,University of Michigan,https://www.coursera.org/learn/python-basics,python-basics,Python Basics University of Michigan
IT Security: Defense against the digital dark arts,Google,https://www.coursera.org/learn/it-security,it-security,IT Security: Defense against the digital dark arts Google
An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,https://www.coursera.org/learn/neuromarketing,neuromarketing,An Introduction to Consumer Neuroscience & Neuromarketing Copenhagen Business School
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,https://www.coursera.org/learn/algorithms-divide-conquer,algorithms-divide-conquer,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms Stanford University"
Using Python to Interact with the Operating System,Google,https://www.coursera.org/learn/python-operating-system,python-operating-system,Using Python to Interact with the Operating System Google
Object-Oriented Data Structures in C++,University of Illinois at Urbana-Champaign,https://www.coursera.org/learn/cs-fundamentals-1,cs-fundamentals-1,Object-Oriented Data Structures in C++ University of Illinois at Urbana-Champaign
Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,https://www.coursera.org/learn/gcp-big-data-ml-fundamentals,gcp-big-data-ml-fundamentals,Google Cloud Platform Big Data and Machine Learning Fundamentals Google Cloud
Databases and SQL for Data Science,IBM,https://www.coursera.org/learn/sql-data-science,sql-data-science,Databases and SQL for Data Science IBM
Natural Language Processing in TensorFlow,DeepLearning.AI,https://www.coursera.org/learn/natural-language-processing-tensorflow,natural-language-processing-tensorflow,Natural Language Processing in TensorFlow DeepLearning.AI
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,https://www.coursera.org/learn/advanced-valuation-and-strategy,advanced-valuation-and-strategy,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital Erasmus University Rotterdam"
Natural Language Processing with Probabilistic Models,DeepLearning.AI,https://www.coursera.org/learn/probabilistic-models-in-nlp,probabilistic-models-in-nlp,Natural Language Processing with Probabilistic Models DeepLearning.AI
IBM Customer Engagement Specialist Professional Certificate,IBM,https://www.coursera.org/learn/ibm-customer-engagement-specialist,ibm-customer-engagement-specialist,IBM Customer Engagement Specialist Professional Certificate IBM
Camino a la Excelencia en Gestión de Proyectos,Pontificia Universidad Católica de Chile,https://www.coursera.org/learn/camino-excelencia-gestion-proyectos,camino-excelencia-gestion-proyectos,Camino a la Excelencia en Gestión de Proyectos Pontificia Universidad Católica de Chile
Introduction to HTML5,University of Michigan,https://www.coursera.org/learn/html,html,Introduction to HTML5 University of Michigan
Wine Tasting: Sensory Techniques for Wine Analysis,"University of California, Davis",https://www.coursera.org/learn/wine,wine,"Wine Tasting: Sensory Techniques for Wine Analysis University of California, Davis"
Excel Skills for Business: Intermediate I,Macquarie University,https://www.coursera.org/learn/excel-intermediate-1,excel-intermediate-1,Excel Skills for Business: Intermediate I Macquarie University
"Programming Foundations with JavaScript, HTML and CSS",Duke University,https://www.coursera.org/learn/duke-programming-web,duke-programming-web,"Programming Foundations with JavaScript, HTML and CSS Duke University"
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,https://www.coursera.org/learn/build-a-computer,build-a-computer,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course) Hebrew University of Jerusalem
Food & Beverage Management,Università Bocconi,https://www.coursera.org/learn/food-beverage-management,food-beverage-management,Food & Beverage Management Università Bocconi
Data Analysis with Python,IBM,https://www.coursera.org/learn/data-analysis-with-python,data-analysis-with-python,Data Analysis with Python IBM
Project Planning,"University of California, Irvine",https://www.coursera.org/learn/project-planning-1,project-planning-1,"Project Planning University of California, Irvine"
Agile Meets Design Thinking,University of Virginia,https://www.coursera.org/learn/uva-darden-getting-started-agile,uva-darden-getting-started-agile,Agile Meets Design Thinking University of Virginia
AWS Fundamentals: Going Cloud-Native,Amazon Web Services,https://www.coursera.org/learn/aws-fundamentals-going-cloud-native,aws-fundamentals-going-cloud-native,AWS Fundamentals: Going Cloud-Native Amazon Web Services
Construction Project Management,Columbia University,https://www.coursera.org/learn/construction-project-management,construction-project-management,Construction Project Management Columbia University
Machine Learning with Python,IBM,https://www.coursera.org/learn/machine-learning-with-python,machine-learning-with-python,Machine Learning with Python IBM
Data Management for Clinical Research,Vanderbilt University,https://www.coursera.org/learn/clinical-data-management,clinical-data-management,Data Management for Clinical Research Vanderbilt University
Foundations of Data Science: K-Means Clustering in Python,University of London,https://www.coursera.org/learn/data-science-k-means-clustering-python,data-science-k-means-clustering-python,Foundations of Data Science: K-Means Clustering in Python University of London
Instructional Design Foundations and Applications,University of Illinois at Urbana-Champaign,https://www.coursera.org/learn/instructional-design-foundations-applications,instructional-design-foundations-applications,Instructional Design Foundations and Applications University of Illinois at Urbana-Champaign
"Speak English Professionally: In Person, Online & On the Phone",Georgia Institute of Technology,https://www.coursera.org/learn/speak-english-professionally,speak-english-professionally,"Speak English Professionally: In Person, Online & On the Phone Georgia Institute of Technology"
Essential Google Cloud Infrastructure: Foundation,Google Cloud,https://www.coursera.org/learn/gcp-infrastructure-foundation,gcp-infrastructure-foundation,Essential Google Cloud Infrastructure: Foundation Google Cloud
Introduction to Artificial Intelligence (AI),IBM,https://www.coursera.org/learn/introduction-to-ai,introduction-to-ai,Introduction to Artificial Intelligence (AI) IBM
International Leadership and Organizational Behavior,Università Bocconi,https://www.coursera.org/learn/organizational-behavior,organizational-behavior,International Leadership and Organizational Behavior Università Bocconi
Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,https://www.coursera.org/learn/sdgbusiness,sdgbusiness,Driving business towards the Sustainable Development Goals Erasmus University Rotterdam
Devenir entrepreneur du changement,HEC Paris,https://www.coursera.org/learn/entrepreneur-changement,entrepreneur-changement,Devenir entrepreneur du changement HEC Paris
Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,https://www.coursera.org/learn/wharton-entrepreneurship-opportunity,wharton-entrepreneurship-opportunity,Entrepreneurship 1: Developing the Opportunity University of Pennsylvania
Circular Economy - Sustainable Materials Management,Delft University of Technology,https://www.coursera.org/learn/circular-economy,circular-economy,Circular Economy - Sustainable Materials Management Delft University of Technology
R Programming,Johns Hopkins University,https://www.coursera.org/learn/r-programming,r-programming,R Programming Johns Hopkins University
Economics of Money and Banking,Columbia University,https://www.coursera.org/learn/money-banking,money-banking,Economics of Money and Banking Columbia University
The Power of Macroeconomics: Economic Principles in the Real World,"University of California, Irvine",https://www.coursera.org/learn/principles-of-macroeconomics,principles-of-macroeconomics,"The Power of Macroeconomics: Economic Principles in the Real World University of California, Irvine"
Behavioral Finance,Duke University,https://www.coursera.org/learn/duke-behavioral-finance,duke-behavioral-finance,Behavioral Finance Duke University
Project Execution,"University of California, Irvine",https://www.coursera.org/learn/project-execution,project-execution,"Project Execution University of California, Irvine"
Microeconomics Principles,University of Illinois at Urbana-Champaign,https://www.coursera.org/learn/microeconomics,microeconomics,Microeconomics Principles University of Illinois at Urbana-Champaign
Design Thinking for Innovation,University of Virginia,https://www.coursera.org/learn/uva-darden-design-thinking-innovation,uva-darden-design-thinking-innovation,Design Thinking for Innovation University of Virginia
Financial Accounting Fundamentals,University of Virginia,https://www.coursera.org/learn/uva-darden-financial-accounting,uva-darden-financial-accounting,Financial Accounting Fundamentals University of Virginia
Understanding Clinical Research: Behind the Statistics,University of Cape Town,https://www.coursera.org/learn/clinical-research,clinical-research,Understanding Clinical Research: Behind the Statistics University of Cape Town
Fashion as Design,The Museum of Modern Art,https://www.coursera.org/learn/fashion-design,fashion-design,Fashion as Design The Museum of Modern Art
Teamwork Skills: Communicating Effectively in Groups,University of Colorado Boulder,https://www.coursera.org/learn/teamwork-skills-effective-communication,teamwork-skills-effective-communication,Teamwork Skills: Communicating Effectively in Groups University of Colorado Boulder
International Organizations Management,University of Geneva,https://www.coursera.org/learn/international-organizations-management,international-organizations-management,International Organizations Management University of Geneva
Marketing Digital,Universidade de São Paulo,https://www.coursera.org/learn/estrategia-marketing-digital,estrategia-marketing-digital,Marketing Digital Universidade de São Paulo
"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,https://www.coursera.org/learn/excel-vba-for-creative-problem-solving-part-1,excel-vba-for-creative-problem-solving-part-1,"Excel/VBA for Creative Problem Solving, Part 1 University of Colorado Boulder"
Introduction to Probability and Data with R,Duke University,https://www.coursera.org/learn/probability-intro,probability-intro,Introduction to Probability and Data with R Duke University
Understanding and Visualizing Data with Python,University of Michigan,https://www.coursera.org/learn/understanding-visualization-data,understanding-visualization-data,Understanding and Visualizing Data with Python University of Michigan
Fundamentals of Visualization with Tableau,"University of California, Davis",https://www.coursera.org/learn/data-visualization-tableau,data-visualization-tableau,"Fundamentals of Visualization with Tableau University of California, Davis"
Getting Started with SAS Programming,SAS,https://www.coursera.org/learn/sas-programming-basics,sas-programming-basics,Getting Started with SAS Programming SAS
Machine Learning for All,University of London,https://www.coursera.org/learn/uol-machine-learning-for-all,uol-machine-learning-for-all,Machine Learning for All University of London
Using Databases with Python,University of Michigan,https://www.coursera.org/learn/python-databases,python-databases,Using Databases with Python University of Michigan
Sports Marketing,Northwestern University,https://www.coursera.org/learn/sports-marketing,sports-marketing,Sports Marketing Northwestern University
Introduction to Programming with MATLAB,Vanderbilt University,https://www.coursera.org/learn/matlab,matlab,Introduction to Programming with MATLAB Vanderbilt University
Preparing to Manage Human Resources,University of Minnesota,https://www.coursera.org/learn/managing-human-resources,managing-human-resources,Preparing to Manage Human Resources University of Minnesota
Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud,https://www.coursera.org/learn/google-cloud-java-spring,google-cloud-java-spring,Building Scalable Java Microservices with Spring Boot and Spring Cloud Google Cloud
Google Cloud Product Fundamentals,Google Cloud,https://www.coursera.org/learn/google-cloud-product-fundamentals,google-cloud-product-fundamentals,Google Cloud Product Fundamentals Google Cloud
Engineering Health: Introduction to Yoga and Physiology,New York University,https://www.coursera.org/learn/engineering-health-yoga-physiology,engineering-health-yoga-physiology,Engineering Health: Introduction to Yoga and Physiology New York University
AI for Medical Diagnosis,DeepLearning.AI,https://www.coursera.org/learn/ai-for-medical-diagnosis,ai-for-medical-diagnosis,AI for Medical Diagnosis DeepLearning.AI
Natural Language Processing with Sequence Models,DeepLearning.AI,https://www.coursera.org/learn/sequence-models-in-nlp,sequence-models-in-nlp,Natural Language Processing with Sequence Models DeepLearning.AI
Innovation Management,Erasmus University Rotterdam,https://www.coursera.org/learn/innovation-management,innovation-management,Innovation Management Erasmus University Rotterdam
The Manager's Toolkit: A Practical Guide to Managing People at Work,"Birkbeck, University of London",https://www.coursera.org/learn/people-management,people-management,"The Manager's Toolkit: A Practical Guide to Managing People at Work Birkbeck, University of London"
Essential Google Cloud Infrastructure: Core Services,Google Cloud,https://www.coursera.org/learn/gcp-infrastructure-core-services,gcp-infrastructure-core-services,Essential Google Cloud Infrastructure: Core Services Google Cloud
Weight Management: Beyond Balancing Calories,Emory University,https://www.coursera.org/learn/weight-management-beyond-balancing-calories,weight-management-beyond-balancing-calories,Weight Management: Beyond Balancing Calories Emory University
Java Programming: Solving Problems with Software,Duke University,https://www.coursera.org/learn/java-programming,java-programming,Java Programming: Solving Problems with Software Duke University
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Universitat Autònoma de Barcelona,https://www.coursera.org/learn/competencias-digitales-ofimatica,competencias-digitales-ofimatica,"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point) Universitat Autònoma de Barcelona"
People Analytics,University of Pennsylvania,https://www.coursera.org/learn/wharton-people-analytics,wharton-people-analytics,People Analytics University of Pennsylvania
UX Design Fundamentals,California Institute of the Arts,https://www.coursera.org/learn/ux-design-fundamentals,ux-design-fundamentals,UX Design Fundamentals California Institute of the Arts
Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,HEC Paris,https://www.coursera.org/learn/investment-management,investment-management,Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers HEC Paris
Introduction to Data Analysis Using Excel,Rice University,https://www.coursera.org/learn/excel-data-analysis,excel-data-analysis,Introduction to Data Analysis Using Excel Rice University
Mind Control: Managing Your Mental Health During COVID-19,University of Toronto,https://www.coursera.org/learn/manage-health-covid-19,manage-health-covid-19,Mind Control: Managing Your Mental Health During COVID-19 University of Toronto
Politics and Economics of International Energy,Sciences Po,https://www.coursera.org/learn/global-energy,global-energy,Politics and Economics of International Energy Sciences Po
Continuous Delivery & DevOps,University of Virginia,https://www.coursera.org/learn/uva-darden-continous-delivery-devops,uva-darden-continous-delivery-devops,Continuous Delivery & DevOps University of Virginia
Business Model Innovation,HEC Paris,https://www.coursera.org/learn/business-model,business-model,Business Model Innovation HEC Paris
Introduction to User Experience Principles and Processes,University of Michigan,https://www.coursera.org/learn/introtoux-principles-and-processes,introtoux-principles-and-processes,Introduction to User Experience Principles and Processes University of Michigan
Process Mining: Data science in Action,Eindhoven University of Technology,https://www.coursera.org/learn/process-mining,process-mining,Process Mining: Data science in Action Eindhoven University of Technology
Introduction to Corporate Finance,University of Pennsylvania,https://www.coursera.org/learn/wharton-finance,wharton-finance,Introduction to Corporate Finance University of Pennsylvania
Algorithmic Toolbox,University of California San Diego,https://www.coursera.org/learn/algorithmic-toolbox,algorithmic-toolbox,Algorithmic Toolbox University of California San Diego
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,https://www.coursera.org/learn/crash-course-in-causality,crash-course-in-causality,A Crash Course in Causality:  Inferring Causal Effects from Observational Data University of Pennsylvania
English for Business and Entrepreneurship,University of Pennsylvania,https://www.coursera.org/learn/business,business,English for Business and Entrepreneurship University of Pennsylvania
Natural Language Processing with Attention Models,DeepLearning.AI,https://www.coursera.org/learn/attention-models-in-nlp,attention-models-in-nlp,Natural Language Processing with Attention Models DeepLearning.AI
Data Visualization with Python,IBM,https://www.coursera.org/learn/python-for-data-visualization,python-for-data-visualization,Data Visualization with Python IBM
Data-driven Decision Making,PwC,https://www.coursera.org/learn/decision-making,decision-making,Data-driven Decision Making PwC
Fundamentals of Engineering Exam Review,Georgia Institute of Technology,https://www.coursera.org/learn/fe-exam,fe-exam,Fundamentals of Engineering Exam Review Georgia Institute of Technology
Managerial Accounting Fundamentals,University of Virginia,https://www.coursera.org/learn/uva-darden-managerial-accounting,uva-darden-managerial-accounting,Managerial Accounting Fundamentals University of Virginia
International Security Management,Erasmus University Rotterdam,https://www.coursera.org/learn/international-security-management,international-security-management,International Security Management Erasmus University Rotterdam
Getting Started with AWS Machine Learning,Amazon Web Services,https://www.coursera.org/learn/aws-machine-learning,aws-machine-learning,Getting Started with AWS Machine Learning Amazon Web Services
Arts and Heritage Management,Università Bocconi,https://www.coursera.org/learn/arts-heritage,arts-heritage,Arts and Heritage Management Università Bocconi
Equine Welfare and Management,"University of California, Davis",https://www.coursera.org/learn/equine,equine,"Equine Welfare and Management University of California, Davis"
Introduction to Web Development,"University of California, Davis",https://www.coursera.org/learn/web-development,web-development,"Introduction to Web Development University of California, Davis"
Engineering Project Management: Initiating and Planning,Rice University,https://www.coursera.org/learn/initiating-planning,initiating-planning,Engineering Project Management: Initiating and Planning Rice University
Kotlin for Java Developers,JetBrains,https://www.coursera.org/learn/kotlin-for-java-developers,kotlin-for-java-developers,Kotlin for Java Developers JetBrains
Mathematics for Machine Learning: Multivariate Calculus,Imperial College London,https://www.coursera.org/learn/multivariate-calculus-machine-learning,multivariate-calculus-machine-learning,Mathematics for Machine Learning: Multivariate Calculus Imperial College London
Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,https://www.coursera.org/learn/aprendiendo-programar-python,aprendiendo-programar-python,Introducción a la programación en Python I: Aprendiendo a programar con Python Pontificia Universidad Católica de Chile
Modernizing Data Lakes and Data Warehouses with GCP,Google Cloud,https://www.coursera.org/learn/data-lakes-data-warehouses-gcp,data-lakes-data-warehouses-gcp,Modernizing Data Lakes and Data Warehouses with GCP Google Cloud
Financial Acumen for Non-Financial Managers,University of Pennsylvania,https://www.coursera.org/learn/finance-healthcare-managers,finance-healthcare-managers,Financial Acumen for Non-Financial Managers University of Pennsylvania
Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,https://www.coursera.org/learn/python-statistics-financial-analysis,python-statistics-financial-analysis,Python and Statistics for Financial Analysis The Hong Kong University of Science and Technology
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,https://www.coursera.org/learn/autodesk-revit-architectural-design,autodesk-revit-architectural-design,Autodesk Certified Professional: Revit for Architectural Design Exam Prep Autodesk
